test_id,port,expected,detected,confidence,match,scenario_type,scenario_subtype,difficulty,latency_ms,reasoning,banner_hex,signals
FILTER_02987,50744,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03857,62340,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.07,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00195_mut_008,96,smtp,smtp,72.0,True,partial_banner,mid_header_eof_byte_insertion,evil,0.69,normal decision,323230206d61696c2e6578616d706c652e636f466632c7b28d933b64eb5bedf0c66d2045534d545020506f737466697820,{'smtp': 90}
PARTIAL_00253_mut_005,33456,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation,evil,0.03,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00262_mut_010,52748,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00323_mut_003,16441,unknown,unknown,19.0,True,partial_banner,extreme_truncation_byte_flip,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,735532,{'unknown': 1}
FILTER_02988,54683,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03858,27167,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00195_mut_009,91,smtp,smtp,72.0,True,partial_banner,mid_header_eof_header_reorder,evil,0.06,normal decision,323230206d61696c2e6578616d706c652e636f6d2045534d545020506f737466697820,{'smtp': 90}
PARTIAL_00253_mut_006,33531,unknown,unknown,19.0,True,partial_banner,extreme_truncation_timing,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,3232,{'unknown': 1}
PARTIAL_00262_mut_011,52722,unknown,unknown,19.0,True,partial_banner,extreme_truncation_double_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,b23eb9d158,{'unknown': 1}
PARTIAL_00323_mut_004,16428,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
FILTER_02989,28500,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03859,22772,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00195_mut_010,172,smtp,smtp,72.0,True,partial_banner,mid_header_eof_timing,evil,0.06,normal decision,323230206d61696c2e6578616d706c652e636f6d2045534d545020506f737466697820,{'smtp': 90}
PARTIAL_00253_mut_007,33519,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00262_mut_012,52671,unknown,unknown,21.0,True,partial_banner,extreme_truncation_byte_insertion,evil,0.05,untrusted decision,3232c89e993ada0478635d03f10209a52815,{'unknown': 1}
PARTIAL_00323_mut_005,16426,unknown,unknown,25.0,True,partial_banner,extreme_truncation_byte_insertion,evil,0.15,Low behavioral consistency (50): likely honeypot or protocol mismatch,32df3230,{'ftp': 35}
FILTER_02990,59132,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03860,56113,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00195_mut_011,32,smtp,unknown,21.0,False,partial_banner,mid_header_eof_byte_flip,evil,0.05,untrusted decision,323220206d61696c2e6578616d606c652e636b6d2047534d545020526f735466e97820,{'unknown': 1}
PARTIAL_00253_mut_008,33538,unknown,unknown,19.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,3232,{'unknown': 1}
PARTIAL_00262_mut_013,52692,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00323_mut_006,16489,unknown,unknown,19.0,True,partial_banner,extreme_truncation_double_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,1964453232a1,{'unknown': 1}
FILTER_02991,34354,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03861,32629,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00195_mut_012,74,smtp,smtp,72.0,True,partial_banner,mid_header_eof_byte_insertion,evil,0.07,normal decision,323230206d61696c2e65786158995d15569270e39d888827fe5670896d706c652e636f6d2045534d545020506f7374666978,{'smtp': 90}
PARTIAL_00253_mut_009,33505,unknown,unknown,19.0,True,partial_banner,extreme_truncation_timing,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,3232,{'unknown': 1}
PARTIAL_00262_mut_014,52695,unknown,unknown,19.0,True,partial_banner,extreme_truncation_byte_insertion,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,4b51012afa3232,{'unknown': 1}
PARTIAL_00323_mut_007,16419,unknown,unknown,25.0,True,partial_banner,extreme_truncation_timing,evil,0.03,Low behavioral consistency (50): likely honeypot or protocol mismatch,323230,{'ftp': 35}
FILTER_02992,19194,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03862,41590,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
